video_id,angry,disgust,fear,happy,sad,surprise,neutral
-0CMnp02rNY,0,0,0,0,0,0,0
-0NYY8cqdiQ,0,0,0,0,0,0,0
-1Hm41N0dUs,0,0,0,0,0,0,0
-1yT-K3c6YI,0,0,0,0,0,0,0
-2aVkGcI7ZA,0,0,0,2,0,0,0
-2b4qSoMnKE,0,0,0,0,0,0,1
-2RVw2_QyxQ,0,0,0,0,0,0,0
-2wRFv-mScQ,0,0,0,1,0,0,0
-35jibKqbEo,0,0,0,0,0,0,0
-37nIo_tLnk,0,0,0,0,0,0,0
-39ysKKpE7I,0,0,0,0,1,0,0
-3h4Xt9No9o,0,0,0,0,0,0,0
-3nEHRN6IPg,0,0,0,0,0,0,0
-3VBPAZPTQI,0,0,1,1,0,0,0
-43MBOJnVks,1,0,0,0,0,0,0
-4s2MeUgduo,0,0,0,0,0,0,0
-5aaJJQFvOg,0,0,0,0,0,0,0
-5WBCrazSfg,1,0,0,0,0,0,0
-66xHRJSPxs,0,0,1,0,0,0,0
-7AZX5Xtiks,0,0,0,0,0,0,0
-7tSTUR7FG0,0,0,0,0,0,0,0
-7UzyXO-mzk,0,0,0,0,0,0,0
-7_ATlZ-zMc,0,0,0,0,0,0,0
-8X32zNup1o,0,0,0,0,0,0,0
-8ZHXaGILlc,0,0,0,0,0,0,0
-9rdDeWzvsU,0,0,0,0,0,0,0
-C5q3oir8gA,0,0,0,0,0,0,0
-EL8TuMsb-k,0,0,0,0,0,0,1
-R9F2_D76TE,0,0,0,0,0,0,0
-W6v2_0evUU,0,0,0,0,1,0,0
0-7wMD5ISIs,0,0,0,0,0,0,0
0-M5C7sQdGI,0,0,0,0,0,0,0
0-VAnh7r-_8,0,0,0,0,0,0,0
0-_h-qFt_zs,0,0,0,0,0,0,0
00mdcc9o28A,0,0,0,0,1,0,0
00nmxR1mxIA,0,0,0,0,0,0,0
00RpZZThSAs,0,0,0,0,0,0,0
02e9klKUN0Y,0,0,0,0,0,1,0
02N508BDngc,0,0,0,0,0,0,0
069D0NmW39o,0,0,0,0,0,0,0
07bTt0BTi-U,0,0,0,0,0,0,0
07S_Glj3uYs,0,0,0,0,0,0,0
07Um1PY_P4o,0,0,0,0,0,0,0
07w3u8iLa-s,0,0,0,0,0,0,1
08l0K3UyUXE,0,0,0,0,0,0,1
08nkwgZIE4I,0,0,0,0,0,0,0
08OhPK2BVIU,0,0,0,0,0,0,1
08qd-vsHbaY,0,0,0,0,0,0,0
08vIy0y1N9I,0,0,0,0,1,0,0
09lz1fRBBsY,0,0,0,0,0,0,0
0aan7Vtcco0,0,0,0,0,0,0,0
0aFhzGEBQlk,0,0,0,0,0,0,0
0ANDjPQPS_Q,0,0,0,0,0,0,0
0AUFyFEt35g,0,0,0,0,0,0,0
0AWUKX5D_ak,1,0,0,0,0,0,0
0b6l7MIaGdA,0,0,0,1,0,0,0
0bSE-rh7jFg,0,0,0,0,0,0,0
0bXCbVGb04A,0,0,0,0,0,0,0
0bXJGZgR1BU,0,0,0,0,0,0,0
0C3pC-uonZU,0,0,0,0,0,0,0
0doVNhCyoA4,0,0,0,0,0,0,0
0DpCDxoj_Xg,0,0,0,0,0,0,0
0dSR-9mtuzk,0,0,0,0,0,0,0
0EbFotkXOiA,0,0,0,0,1,0,0
0enOVnTDmqA,0,0,0,1,0,0,0
0eOtSEkLVtw,0,0,0,0,0,0,0
0EPY1CKFecs,0,0,0,0,0,0,0
0ETrC_c14ms,0,0,0,1,0,0,1
0eUk_VN3e2A,0,0,0,0,0,0,0
0f7CuSU_huU,0,0,0,0,0,0,0
0FBYDz1_EPs,0,0,0,0,0,0,0
0fepqIO57f8,0,0,0,0,0,0,0
0fOZ4Nwm5Pg,0,0,0,1,0,1,0
0gDVWPPgMKY,0,0,0,0,0,0,0
0GGbHtKmobQ,0,0,0,0,0,0,0
0GKC_nj7B44,0,0,0,0,0,0,0
0gLsukihjVg,0,0,0,0,0,0,1
0GQmGOju6CE,0,0,0,0,0,0,0
0gv90B5DIPo,0,0,0,1,0,0,0
0gW9EnfWzDw,0,0,0,0,0,0,0
0gwkMY-mzUQ,0,0,0,0,0,0,0
0H-JHIGRRNM,0,0,0,0,0,0,0
0hcp-eMOn4E,0,0,0,0,0,0,0
0HX039UdGpU,0,0,0,0,1,0,0
0I9vWjc9nao,0,0,0,0,0,0,0
0IC3II1i5yM,0,0,0,0,0,0,0
0JcNT6jYGwI,0,0,0,0,0,0,0
0jmDHoPUGKI,0,0,0,0,0,0,0
0Juc2cL26mg,0,0,0,0,1,0,0
0KEFbtZQdnE,0,0,0,0,1,0,0
0KFC9dZ7bxU,0,0,0,0,0,0,0
0KRpcUAtg00,0,0,0,0,0,0,0
0l35jAGQPOI,0,0,0,0,0,0,1
0lbJHqAGpbA,0,0,0,0,0,0,0
0ldBURP-cWo,0,0,0,0,0,0,0
0lr497GhD04,0,0,0,0,0,0,0
0lXX3dJUAGY,0,0,0,0,0,0,0
0mAS2Gxs08w,0,0,0,0,0,0,2
0mlNzVSJrT0,0,0,0,0,0,0,0
0MyCrMrkMFo,0,0,0,0,0,1,1
0Nip-J6u8C0,0,0,0,0,0,0,0
0noUI5HLY4I,0,0,0,0,0,0,0
0NS51Iph2Ms,0,0,0,0,1,0,1
0nVO-yU0oxM,0,0,0,0,0,0,0
0NWKUHl6JLY,0,0,0,0,0,0,0
0nybdPCuvRI,0,0,0,0,0,0,0
0O2IAz1E9Ts,0,0,0,1,0,0,0
0oBodJHX1Vg,0,0,0,0,0,0,0
0oXu0XfXYYE,0,0,0,0,0,1,0
0PpNlNJ6Nng,0,0,1,1,0,0,0
0PW9MWDWLH8,0,0,0,1,0,0,0
0PWu3BRxn60,0,0,0,0,0,0,0
0Q0_xFYpYL4,0,0,0,0,0,0,0
0q9Cm11d-fE,0,0,0,0,0,0,0
0QDjTwsEeE0,0,0,0,0,0,0,0
0QOPb9DlOfY,0,0,0,0,0,0,0
0qpE8IHz3go,0,0,0,1,0,1,1
0r-zYs6NQu8,0,0,0,0,0,0,0
0Rj7pHC_6jc,0,0,0,0,0,0,0
0Rt329xQUjM,0,0,0,2,0,0,0
0RxhuBwCwMs,0,0,0,0,0,0,0
0s6-iFoCFNQ,0,0,0,0,0,0,0
0SLu6i6Rm2g,0,0,0,0,0,0,1
0TNVthqZ3uc,0,0,0,0,0,0,0
0tO_l_Ed5Rs,0,0,0,0,0,0,0
0ufNmUyf2co,0,0,0,0,0,0,0
0uJUW24505E,0,0,0,0,0,0,0
0umuSm2WA9g,0,0,0,0,0,0,0
0URpDxIjZrQ,0,0,0,0,0,0,0
0v-6AylRH68,0,0,0,1,0,0,0
0vhxoVwqZkk,0,0,0,0,0,0,0
0vKkwJwL77Y,0,0,0,0,1,0,0
0VQysq26ozE,0,0,0,0,0,0,0
0VsgQmCPgoI,0,0,0,0,0,0,0
0vXLU9BnDPc,0,0,0,1,0,0,0
0WPYpeJA__U,1,0,0,0,0,0,0
0XARMt12oFk,0,0,0,0,0,0,0
0xCggNCs2kU,0,0,0,0,0,0,0
0XElmYomloA,1,0,0,0,0,0,0
0XR-FwfdOos,0,0,0,0,0,0,0
0XuOkYlUWIs,0,0,0,0,0,0,0
0ycLaWymtKk,0,0,0,0,0,0,0
0Yp9WS6cJFA,0,0,0,0,0,0,0
0ZAA9Y4F37I,0,0,0,1,0,0,0
0zMSMJZc9EA,0,0,0,0,0,0,0
0zZ0Y_UZRBw,0,0,0,0,0,1,0
1-BhcMdxfjI,0,0,0,0,0,0,0
1-jXHDiRnC0,0,0,0,0,0,1,0
10fjaHpOeWo,0,0,0,0,0,0,0
10ndJuFP1PY,0,0,0,0,0,0,0
11K013qpRR4,1,0,0,0,0,0,0
12B8DNBoYRA,0,0,0,0,0,0,0
12m1rG0Tj7U,0,0,0,0,0,0,0
133w0dT64A0,0,0,0,0,0,0,0
13434sOl4Zo,0,0,0,0,0,0,0
13hdKXfku4M,0,0,0,0,0,0,0
13xFL17XmYU,0,0,0,0,0,0,0
14G7Qw5DC9M,0,0,0,0,0,0,0
14G7U6pTcFk,0,0,0,0,0,0,0
15aTCG3as6Q,0,0,0,0,0,0,0
15nf2EBBNu0,0,0,0,0,0,0,0
15UK0924t_o,0,0,0,1,1,0,0
15uSD6tHi2I,0,0,0,0,0,0,1
1640fZpYBSY,0,0,0,0,0,0,0
16a1LttU5qc,0,0,0,0,0,0,0
16W7c0mb-rE,0,0,0,0,0,0,0
17wT_2StvnM,0,0,0,0,0,0,0
17x4Auq4Tw4,0,0,0,0,0,0,0
18QHSoWPygQ,0,0,0,0,0,0,0
18RqtFuaNe8,0,0,0,1,0,0,0
18thGW1YjRM,0,0,0,0,0,0,0
19QxOZU0zkQ,0,0,0,1,0,0,0
1Aoc-cd9eYs,0,0,0,0,0,0,0
1A_aWbz6D5A,0,0,0,0,0,0,1
1A_feeLPImg,0,0,0,0,0,0,0
1bSDtlARvPI,0,0,0,0,0,0,0
1ce456Nnkt8,0,0,0,0,0,0,0
1cgK-BIrXes,0,0,0,0,0,0,1
1csFTDXXULY,0,0,0,0,0,0,0
1cUUfMeOijg,0,0,0,0,0,0,0
1CYch47uOZU,0,0,0,0,0,0,0
1DQ9UTz5j8o,0,0,0,0,0,0,0
1dQEfL2BfUM,0,0,0,0,0,0,0
1DRhHMy-D4E,1,0,0,0,0,0,0
1e5vRpODASk,0,0,0,0,0,0,0
1EC8lBwroOc,0,0,0,0,0,0,0
1eKa8ju_b2A,0,0,0,0,0,0,0
1emNguW5xAA,1,0,0,0,0,0,0
1eS_17CG9sk,0,0,0,0,0,0,0
1FJD7jZqZEk,0,0,0,0,0,0,0
1glTOFPECNI,0,0,0,0,0,0,0
1gSu12JpKP8,0,0,0,0,0,0,0
1h7KV2sjUWY,0,0,0,0,0,0,0
1HBvOZlvj_w,0,0,1,0,0,0,1
1HcoMNJUiM0,0,0,0,0,0,0,1
1HJkmKODN4Y,0,0,0,0,0,0,0
1HLMi1s6Tho,0,0,0,0,0,0,0
1hTLGlgZ4Z8,0,0,0,0,1,0,0
1huD-o3abV8,0,0,0,0,0,0,1
1hX1KSKqVmo,1,0,0,0,0,0,0
1I0cUTXwr-k,0,0,0,0,0,0,0
1iGBHh1q0Kg,0,0,0,0,0,0,0
1iUgR_lKn1c,1,0,0,0,0,0,0
1J76wN0TPI4,0,0,0,0,0,0,0
1JNxKJnPDAs,0,0,0,0,0,0,0
1JXq9779zwU,0,0,0,0,0,0,0
1j_k5WCFShQ,0,0,0,1,0,0,0
1kEoS9WwpmA,0,0,0,0,0,0,0
1KG8Qha7uXw,0,0,0,0,0,0,0
1KVBFtSuCm0,0,0,0,0,0,0,0
1l26UFQ06eQ,0,0,0,0,0,0,0
1lCnG9hWC6w,0,0,0,0,0,0,0
1LWbRkt490A,0,0,0,0,0,0,0
1L_fPteZOYQ,0,0,0,0,1,0,0
1M5r_B1_WZ8,0,0,0,0,2,0,0
1MGNw-Y2QPk,0,0,0,0,0,0,1
1mpdJcGj8Qg,0,0,0,0,0,0,0
1mYB8onrPt0,0,0,0,0,0,1,0
1n4rqMnxaig,0,0,0,0,0,0,0
1ndx3Hl-7ls,0,0,0,0,0,0,0
