video_id,angry,disgust,fear,happy,sad,surprise,neutral
---azc0s53U,0,0,0,0,0,0,1
--odHbEt_h0,0,0,0,0,0,0,0
--PxcfEyjC0,0,0,0,0,0,0,0
-0is_41pYJc,0,0,0,1,0,0,0
-0LglKLZCCM,0,0,0,1,1,0,0
-10vg90ZIy8,0,0,0,0,0,0,0
-1bO3OIDrfM,0,0,0,0,0,0,0
-1VhigA7o88,0,0,0,0,0,0,0
-2AgMqB1e7s,1,0,0,1,0,0,0
-339h1pPm0k,0,0,0,0,0,0,0
-35JUE86NIc,0,0,0,1,1,0,0
-3BVWtwbV64,0,0,0,0,0,0,0
-3lPkPIt4xk,1,0,0,0,0,0,0
-3xtVDd6qic,0,0,0,1,1,0,0
-5I4FCUo7AA,0,0,0,0,1,0,1
-5ww8qLVG3c,1,0,0,0,0,0,0
-7er2Tw3ryg,0,0,0,0,1,0,0
-7nBg99K3fM,0,0,0,0,0,0,0
-7WAe_dMzk4,0,0,0,0,0,0,0
-7YATCN7BTQ,1,0,0,0,0,0,0
-9G0ksfpHR0,0,0,0,0,0,0,1
-9iTUwLrRjQ,1,0,0,1,1,0,1
-A9rYcBmBFo,0,0,1,0,1,0,0
-aHx0PR8TiA,0,0,0,0,0,0,0
-api6YYY_GA,0,0,0,0,1,0,0
-ApjHkmNIS0,0,0,0,0,0,0,2
-aTNHQtV0FQ,0,0,0,0,1,0,0
-b9MBuXFQF4,0,0,0,0,0,0,0
-Bes_KKF1wY,0,0,0,3,0,0,0
-BMlP3fVlnM,0,0,0,1,1,0,0
-bNkyLMP0JA,1,0,1,0,0,0,0
-btQ55_ZVl4,0,0,0,0,2,0,1
-BwVCA4b8gw,0,0,1,1,0,0,0
-By3p8rFShA,0,0,0,0,1,0,1
-CAgZ_PpGCA,0,0,0,0,0,0,2
-Cbb0pD3jrc,0,0,0,0,0,0,0
-cEUeIYgxo8,0,0,0,1,0,0,1
-CGED6lbzSg,0,0,0,1,0,0,0
-cP0SXzi1b4,0,0,0,0,0,0,1
-cpza8jYpz0,0,0,0,0,0,0,0
-Czj9crvlKU,0,0,0,0,0,0,0
-dADdmUl8qE,0,0,0,0,0,0,0
-dEuu8gcny8,0,0,0,0,0,0,1
-dKkKi0wVGE,0,0,0,0,3,0,1
-Dl2bFf4i6A,0,0,0,1,0,0,0
-dR3ZE6THtc,0,0,0,0,0,0,0
-ep2OdAUwCM,0,0,0,0,0,0,1
-ewRwAgfYsc,1,0,0,0,0,0,0
-EYQLtDkcIE,0,0,0,0,1,0,0
-f6Pr-f04Z4,0,0,0,0,0,0,0
-f8GcFCxeP8,0,0,0,0,0,0,0
-fCSReabovk,0,0,0,0,0,0,0
-fKQb4HIfqo,0,0,0,0,0,0,0
-fLJeEFRa9E,0,0,0,0,0,0,0
-FNeHCQxbJU,0,0,0,0,0,0,1
-FTj7y-rkC0,0,0,1,0,0,0,1
-fYQ4Y_DVQs,0,0,0,1,0,0,0
-f_Nvzszw2s,0,0,0,0,0,0,1
-GDePdDOFiE,1,0,0,0,0,0,2
-GkdD9mxNTE,0,0,0,0,0,0,0
-gxPppaGX8s,0,0,0,0,0,0,0
-hgsAmLmIOM,0,0,2,0,0,0,2
-hRxsN0Y4kk,0,0,0,0,1,0,0
-i3eCXudjc8,0,0,0,0,0,0,0
-ilb9lnaj5c,0,0,0,1,1,0,1
-iPgS-xnncc,0,0,1,0,0,0,0
-iWGtQ03OZM,0,0,0,0,0,0,0
-JA2ORq2xVs,1,0,0,0,0,1,1
-JIr14avi0s,0,0,0,0,0,0,0
-JWewEsf-X0,0,0,0,0,0,0,0
-j_6V5umRmU,0,0,0,0,0,0,0
-k0AST2sQRI,0,0,0,0,0,0,0
-kY6rCAuLpQ,0,0,0,0,0,0,0
-LI8X-GhFA8,1,0,0,0,0,0,0
-LIar4INFOU,0,0,0,0,1,0,1
-ljI3o-IqEE,0,0,0,1,0,0,1
-lli5KX7CUg,0,0,0,0,0,0,0
-LnkjFpFZJk,0,0,0,0,0,0,0
-m0h-1Vnez0,0,0,0,0,0,0,0
-M28ycAAyPk,0,0,0,0,0,0,1
-mAD5fG1GSM,0,0,0,0,1,0,0
-mkgDGOUaFI,0,0,0,0,0,0,0
-MPC2H7GgK4,0,0,0,0,0,0,1
-mY9X2cSOZ0,0,0,0,1,0,0,0
-N446OAUjT4,0,0,0,0,0,1,0
-N4MBIichQY,0,0,1,0,0,0,0
-NHmwmqB_H0,0,0,0,0,0,0,0
-nk5ig_1BIA,0,0,0,0,0,0,0
-Np8umhqIkk,0,0,0,1,0,0,0
-NSWiGaaJKE,0,0,0,1,1,0,0
-NYVq626WkA,0,0,0,0,0,0,0
-olA_5uClWA,0,0,0,1,1,0,0
-OzWJzScONo,0,0,0,0,0,0,0
-pDcNJedoZE,1,0,0,0,1,0,0
-PLG_RXOdcE,0,0,0,0,2,0,1
-pOSRBAqUdM,0,0,0,0,0,0,0
-pudAh8UZaE,0,0,0,2,0,0,0
-pwvctnQUYM,0,0,0,1,0,0,0
-pzoJY1yBcM,0,0,0,0,0,0,1
-Q3hznepglk,1,0,1,0,0,0,0
-QGIlC1q-SM,0,0,0,2,0,0,0
-QmOoEM41M4,1,0,0,0,0,0,0
-qvM5u39buo,1,0,0,0,1,0,0
-QxnFfgXpw8,0,0,0,0,1,0,1
-qxVhujiaCE,1,0,1,0,0,0,1
-qyFzSj4c9U,0,0,0,0,0,0,0
-rKwPblSdQA,1,0,0,0,0,0,0
-rNYcYmrUZQ,0,0,0,0,0,0,0
-RS47CRMLaI,0,0,0,1,0,0,0
-rxgAh1bnHU,0,0,0,1,0,0,0
-SbuTIDkKTQ,0,0,1,0,0,0,0
-SCj_if8ftc,0,0,1,0,0,0,0
-SDs189yiLg,0,0,0,1,0,0,0
-skio198Z7Y,0,0,0,1,0,0,0
-SOhHcrbcWA,0,0,0,0,0,0,0
-TmXKq_ulMg,0,0,0,0,1,0,0
-tODbJTHeDw,0,0,0,0,1,0,0
-tS7Yecuqwo,0,0,0,0,1,0,0
-ufOCAz9a_0,0,0,0,1,0,0,0
-uHY1WrKuvI,0,0,0,0,0,0,0
-Ul3Mjk2YYU,0,0,0,0,0,0,1
-ULOx6RlFQM,0,0,0,0,0,0,1
-umb4cyFFSE,0,0,1,0,0,0,0
-us4D0Fw6O8,0,0,0,0,0,0,0
-V61uA4Kyy0,0,0,0,0,0,0,0
-VBNFtSoKIU,0,0,0,0,0,0,0
-VKIqrvVOpo,0,0,0,0,0,0,0
-vuDnPVXFbY,0,0,0,0,0,0,0
-w6FvXmUaMs,0,0,0,0,0,0,1
-W6oYT49yTc,1,0,0,0,0,0,1
-WcRsl4Geio,0,0,0,1,0,0,0
-wd9sIDz46k,0,0,0,2,1,0,0
-wj1pc3tJEk,0,0,0,0,0,0,0
-WKOOpLMPKM,0,0,0,0,0,0,1
-wo8HsrmYvU,0,0,0,0,0,0,0
-W_HpgNspv8,0,0,0,0,0,0,0
-X-wGqTqaHY,0,0,0,0,0,0,1
-Y90H5ntmQI,0,0,0,0,0,0,0
-YFzBR1q7xI,0,0,0,1,0,0,0
-ytgKFOG2DU,0,0,0,0,0,0,0
-yx0bTPVob0,0,0,0,0,0,0,1
-z3iyydFevQ,0,0,1,1,0,0,0
-Z67r6Ub6cY,1,0,1,0,3,1,1
-zj9yiJ-DzQ,0,0,0,0,0,0,0
-ZJtbv83omM,0,0,0,0,0,0,0
-ZNmbKxeV7E,0,0,0,0,0,0,0
-ZOXkMc4NnI,0,0,0,0,0,0,1
-zQbYtSrC34,1,0,0,0,0,0,0
-zwEgL8IN-0,0,0,0,0,2,0,0
-zzk28ytkkk,0,0,0,0,0,0,0
-_Kkiqd2EXw,0,0,0,1,0,0,0
-_leYftruXI,0,0,0,0,0,0,0
-_vTZVIYdR4,1,0,0,0,0,0,0
00aQl_XuQqw,0,0,0,0,0,0,1
01BcrPfX0MM,0,0,0,0,0,0,0
01VyZ6XWwY8,0,0,1,0,2,0,0
022Xo3QFL6U,0,0,0,1,0,0,0
02fRdleMSaA,0,0,0,1,0,0,2
03KFC4VtpcY,0,0,0,0,0,0,1
03Q61BH-gMM,0,0,0,0,0,0,1
03XoJHk-QW8,0,0,0,2,0,0,1
04ERSb06dOg,0,0,0,0,0,0,0
04He1qcAgv8,0,0,0,0,1,0,1
05O673tT4mA,0,0,0,0,0,0,0
05xHi-whPD8,0,0,0,0,1,0,1
06BLwc1XSis,0,0,0,0,1,0,0
06D-UBgOx1s,0,0,0,0,0,0,1
07QG5Cmq6v4,0,0,0,0,1,0,0
07QqiNYmL2w,0,0,1,0,0,0,0
07TbCFD7pSY,0,0,1,0,0,0,0
08h4wVssYJM,1,0,0,0,0,0,0
08IKnaCEXis,0,0,0,0,0,1,0
099u3RL7IYc,0,0,0,1,0,0,1
09e-Sewe00Q,0,0,0,0,0,0,1
09gsey0FMJI,1,0,0,0,1,0,0
09NJc8fevyA,0,0,0,0,0,0,0
0A5ZnKqKzTo,0,0,2,0,0,0,0
0aRDfoGckng,0,0,0,1,0,0,0
0a_1mS_y4E4,0,0,0,0,1,0,0
0B3JEvu1CRI,0,0,0,1,1,0,1
0B5L3lOetE4,0,0,0,1,0,0,0
0BlOuESUp5o,0,0,0,1,0,0,0
0boUybVz8HQ,0,0,0,0,0,0,0
0c0878tn4aw,0,0,0,1,2,0,0
0cB_qVZ2WQM,0,0,0,0,5,0,0
0crDvTXvTFM,0,0,0,0,0,0,0
0CVlh7XBLv8,0,0,0,1,0,0,0
0DlEZjbmzHg,0,0,1,0,0,0,0
0dLVivLINqw,1,0,0,0,0,0,1
0ED-g60Pdeg,0,0,0,0,0,0,0
0ER5nTxB8Jo,0,0,0,0,1,0,0
0erej4tFzXk,0,0,0,1,0,0,0
0eY5l_I0vBw,0,0,0,0,0,0,0
0F-4jpu7y7s,0,0,0,0,0,0,0
0f-LB7pB56I,0,0,0,0,0,0,0
0F7MB6x-gpA,0,0,0,0,0,0,0
0fGX4C2FdFU,0,0,0,0,0,0,0
0fSjl516cJI,0,0,1,0,2,0,0
0G-oxrqj52Q,0,0,0,0,0,0,1
0G5Xn8v67AM,0,0,0,0,1,1,0
0GCuvcTI090,0,0,0,0,0,0,1
0gDh8kU4VnI,0,0,0,0,0,0,0
0Goy146sbwU,0,0,0,0,0,0,0
0gv90B5DIPo,1,0,0,1,0,0,0
0GxYPIGao2Y,0,0,0,0,0,0,0
0h-Y0COtIqU,0,0,0,1,0,0,0
0hbLgePCEKU,0,0,0,0,0,0,0
0hJ6qBOm3ok,0,0,0,0,0,0,0
0hjqGN-9anA,0,0,0,0,0,0,1
0hWYJWgfBhQ,0,0,0,0,0,0,0
0iat5zqU7xA,0,0,0,1,0,0,0
0IM1Bbvu9v0,0,0,0,0,0,0,0
0iUrVSo1820,0,0,0,0,1,0,0
0ivVOg0hEIo,0,0,0,0,0,0,1
0iZ7PGWvOQU,0,0,0,0,3,0,0
0J00qjO2xgE,1,0,0,0,0,0,0
0jY010oKl7c,0,0,1,0,0,0,0
0KllM34KXws,0,0,0,0,0,0,0
0kRuV8l4Yso,0,0,0,0,0,0,0
0lC4uHb169w,0,0,0,1,0,0,0
0lReGPfPHKo,0,0,0,0,1,0,0
0ltP9Xz6x70,0,0,0,0,0,0,0
0Lw7L2AJwwU,0,0,0,0,1,0,0
0MgxEixTfoc,1,0,0,0,0,0,1
0nQ1ro6Y3UE,2,0,0,0,1,0,2
0Nw0ZVXGxUQ,0,0,0,0,0,0,0
0NyEBvN_ZfA,1,0,0,0,0,0,0
0O7e9rYsjB4,0,0,0,2,0,0,0
0OoXOIzgRbQ,0,0,0,0,0,0,0
0OrhBjcgss4,0,0,0,0,0,0,1
0P4B2HXh4Y4,0,0,0,0,0,0,0
0pGsJFLXAgY,0,0,0,0,1,0,0
0PMbl7wzhY0,0,0,0,0,1,0,0
0ppJ42yljw0,0,0,0,0,0,0,0
0PRx6A4zhns,0,0,0,0,0,0,0
0PtyXnFVNDw,0,0,0,0,1,0,0
0PuTYKySa08,0,0,0,0,0,0,0
0qF6TiZ9CIg,0,0,0,1,0,0,0
0QgDcregFbQ,0,0,0,0,2,0,0
0qgFty3hFrc,0,0,0,0,0,0,0
